Job_Name,Company_Name,Location,Published_Time,exp_level,exp_years,Job_Type
Personal Assistant to Director,Al Garem Hospital ,"Maadi, Cairo, Egypt",17 hours ago,Entry Level,1 - 3 Yrs of Exp,Full Time
Architecture Technical Office Engineer,Jumeirah Development,"6th of October, Giza, Egypt",17 hours ago,Experienced,1 - 3 Yrs of Exp,Full Time
Civil Engineer,Jumeirah Development,"6th of October, Giza, Egypt",17 hours ago,Experienced,1 - 2 Yrs of Exp,Full Time
Financial Manager (Real Estate),El Megharbel Construction,"Heliopolis, Cairo, Egypt",17 hours ago,Manager,10 - 15 Yrs of Exp,Full Time
Corporate Sales Account Manager,Forasna,"Maadi, Cairo, Egypt",17 hours ago,Experienced,1 - 5 Yrs of Exp,Full Time
Procurement Engineer - Construction,Dezignamic,"Nasr City, Cairo, Egypt",17 hours ago,Experienced,10 - 15 Yrs of Exp,Full Time
Head OF Engineering,Dezignamic,"Nasr City, Cairo, Egypt",18 hours ago,Experienced,10 - 15 Yrs of Exp,Full Time
Architect Engineers,Spectrum Engineering ,"6th of October, Giza, Egypt",18 hours ago,Experienced,3 - 5 Yrs of Exp,Full Time
Account Manager,Mico World Limited,"Maadi, Cairo, Egypt",18 hours ago,Experienced,1 - 2 Yrs of Exp,Full Time
Operation & Maintenance Electrical Engineer (10th of Ramadan City),National Electricity Technology Co.,"10th of Ramadan City, Sharqia, Egypt",18 hours ago,Experienced,3 - 7 Yrs of Exp,Full Time
Quality Control Engineers,Spectrum Engineering ,"6th of October, Giza, Egypt",18 hours ago,Experienced,3 - 5 Yrs of Exp,Full Time
Call Center Agent,MMG,"6th of October, Giza, Egypt",18 hours ago,Experienced,1 - 3 Yrs of Exp,Full Time
Planning & Cost Control Engineer,Spectrum Engineering ,"6th of October, Giza, Egypt",18 hours ago,Experienced,3 - 5 Yrs of Exp,Full Time
BIM Engineers,Spectrum Engineering ,"6th of October, Giza, Egypt",18 hours ago,Experienced,3 - 5 Yrs of Exp,Full Time
HR Administrator,select for real estate,"6th of October, Giza, Egypt",18 hours ago,Experienced,1 - 3 Yrs of Exp,Full Time
Architecture Technical Office,CUBIC constructions ,"Mokattam, Cairo, Egypt",18 hours ago,Entry Level,1 - 2 Yrs of Exp,Full Time
Sales Account Manager,Slick estimates  ,"Dallas, United States",18 hours ago,Manager,3 - 10 Yrs of Exp,Full Time
Senior Cost Engineer,Smart Window,"New Cairo, Cairo, Egypt",18 hours ago,Experienced,6 - 8 Yrs of Exp,Full Time
Senior Interior Designer,Global construction district,"Maadi, Cairo, Egypt",18 hours ago,Experienced,5 - 10 Yrs of Exp,Full Time
Senior Planning Engineer,Smart Window,"New Cairo, Cairo, Egypt",18 hours ago,Experienced,6 - 8 Yrs of Exp,Full Time
Partner Success Supervisor / E-Learning Specialist,classera,"New Cairo, Cairo, Egypt",18 hours ago,Experienced,3+ Yrs of Exp,Full Time
Electrical Engineers,Spectrum Engineering ,"6th of October, Giza, Egypt",18 hours ago,Experienced,3 - 5 Yrs of Exp,Full Time
Interior And Exterior Designer,Mina House Realstate ,"Heliopolis, Cairo, Egypt",18 hours ago,Experienced,1 - 5 Yrs of Exp,Full Time
Electrical Draftsman,Global construction district,"Maadi, Cairo, Egypt",18 hours ago,Experienced,3 - 7 Yrs of Exp,Full Time
Data Entry Clerk,Femex Egypt,"Sheraton, Cairo, Egypt",18 hours ago,Entry Level,1 - 2 Yrs of Exp,Full Time
Mechanical Engineers,Spectrum Engineering ,"6th of October, Giza, Egypt",18 hours ago,Experienced,3 - 5 Yrs of Exp,Full Time
IT Specialist,Femex Egypt,"Sheraton, Cairo, Egypt",18 hours ago,Experienced,3 - 5 Yrs of Exp,Full Time
Graphic Designer,Global construction district,"Maadi, Cairo, Egypt",18 hours ago,Experienced,3 - 5 Yrs of Exp,Full Time
Senior Working Drawings Architect,Confidential,"Agouza, Giza, Egypt",19 hours ago,Experienced,6 - 10 Yrs of Exp,Full Time
Senior Internal Auditor,Confidential,"Khobar, Saudi Arabia",19 hours ago,Manager,7 - 10 Yrs of Exp,Full Time
Sales Representative,Confidential,"Heliopolis, Cairo, Egypt",19 hours ago,Experienced,2 - 3 Yrs of Exp,Full Time
App Marketing Specialist (Junior CRM),Chefaa IT,"Maadi, Cairo, Egypt",19 hours ago,Entry Level,1 - 2 Yrs of Exp,Full Time
Business Consultant,Deemasa consulting,"Sheraton, Cairo, Egypt",19 hours ago,Experienced,2 - 3 Yrs of Exp,Full Time
Medical Director ( Beauty Clinic ),Nouvel Age,"Cairo, Egypt",19 hours ago,Manager,3 - 5 Yrs of Exp,Full Time
Marketing Specialist,Nouvel Age,"Cairo, Egypt",19 hours ago,Experienced,1 - 3 Yrs of Exp,Full Time
Architectural Sales Representative,Rameer Co. for (Architecture & Design),"Mansoura, Dakahlia, Egypt",19 hours ago,Experienced,3 - 5 Yrs of Exp,Full Time
Sales Executive,MMG,"6th of October, Giza, Egypt",19 hours ago,Experienced,5 - 10 Yrs of Exp,Full Time
Meetings & Events Planner,Confidential,"Cairo, Egypt",19 hours ago,Experienced,3 - 5 Yrs of Exp,Full Time
Administrative Assistant,White Gold Logistics,"Sheraton, Cairo, Egypt",19 hours ago,Entry Level,2 - 5 Yrs of Exp,Full Time
Foreign Purchasing Specialist,Confidential,"10th of Ramadan City, Cairo, Egypt",19 hours ago,Entry Level,1 - 3 Yrs of Exp,Full Time
Customer Support Representative,Worood.Co,"New Cairo, Cairo, Egypt",19 hours ago,Entry Level,1 - 5 Yrs of Exp,Full Time
Mechanical Technical Office Engineer,El Megharbel Construction,"Heliopolis, Cairo, Egypt",19 hours ago,Experienced,4 - 5 Yrs of Exp,Full Time
Business Developmnet Specialist,Confidential,"Maadi, Cairo, Egypt",19 hours ago,Experienced,0 - 1 Yrs of Exp,Full Time
Internal Audit Manager,MMG,"6th of October, Giza, Egypt",19 hours ago,Manager,5 - 10 Yrs of Exp,Full Time
Medical Representative - Sharqia,Target Medical Group (TMG),"Sharqia, Egypt",19 hours ago,Experienced,2 - 10 Yrs of Exp,Full Time
Senior Marketing executive,Tayseer Chemicals ,"Nasr City, Cairo, Egypt",19 hours ago,Experienced,4 - 7 Yrs of Exp,Full Time
Medical Representative - Alexandria,Target Medical Group (TMG),"Alexandria, Egypt",19 hours ago,Experienced,2 - 5 Yrs of Exp,Full Time
